timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,A,ar,bridge,80,1000,4,2.2631793828600824,-0.3379665789798572,4.125329330829739,0.32847477788214396,-0.23178297563001304,1.1667525055145385,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,80,1000,4,3.570938231737567,-0.7457421628674684,6.930749203051432,0.30023667141171373,-0.58637135901013,1.818522760072464,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,3.527322278555773,-0.5101646385628809,6.692094345571587,0.4158234062215249,-0.40999784680730983,1.8446793438662379,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,midas_umidas,80,1000,4,-44.16443965237221,-76.17173457547479,-4.633141962913474,-10.99633704797023,-24.68026949104111,-3.4161440674609387,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,80,1000,4,3.4115787897626015,-0.5349414286157804,6.518374686181284,0.420651197570018,-0.373308191419701,1.7650266343214347,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,no_revision,80,1000,4,-0.1325665211112632,-0.3594523318689374,-0.0020297041254740103,-0.15157174073342272,-0.40405188067967196,0.0019300607283260626,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,release_dfm,80,1000,4,4.07101331631289,-0.2844372380680421,7.374870479159402,0.7760426103811391,-0.10520739816826463,2.1147337351859496,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,revision_dfm_kalman_em,80,1000,4,3.754090223006651,-0.31786656027395643,6.933489545212625,0.5785377559632565,-0.2581311285782664,1.9761412013508037,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,spf,80,1000,4,4.911916387866497,0.04926528405236749,8.910177437767627,1.0639324287197356,0.003702756863035292,2.826978036006298,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,standard_dfm,80,1000,4,4.07101331631289,-0.30659579866508535,7.462965098434692,0.7760426103811391,-0.11251033554646543,2.262607329923118,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,ar,80,1000,4,0.1325665211112632,0.0003766460170106346,0.3553209646500371,0.15157174073342272,-0.006402520030822009,0.4557782454223573,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,bridge,80,1000,4,2.3957459039713456,-0.17346959195003292,4.233247120106729,0.4800465186155667,-0.1504923771423809,1.437601931121561,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,80,1000,4,3.70350475284883,-0.7012443245773762,7.107014463890513,0.45180841214513645,-0.5383754502721535,2.0890689224510677,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,3.659888799667036,-0.47130341345444404,6.791463589554257,0.5673951469549476,-0.3676933598384624,2.0348650044677408,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,midas_umidas,80,1000,4,-44.03187313126095,-76.02820725120247,-4.501656138177498,-10.844765307236806,-24.655474674536357,-3.347103879502914,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,monthly_mixed_frequency_kalman_em,80,1000,4,3.5441453108738648,-0.32261280540729476,6.555040998367722,0.5722229383034407,-0.27716620802878,1.872373681699184,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,release_dfm,80,1000,4,4.2035798374241535,-0.21633848419997484,7.647549892128633,0.9276143511145618,-0.07968093072287978,2.5501094666026507,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,revision_dfm_kalman_em,80,1000,4,3.8866567441179143,-0.25223674590832007,7.058769198398449,0.7301094966966792,-0.1900598292420475,2.1784252722002586,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,spf,80,1000,4,5.04448290897776,0.17130889377682276,9.41633300756437,1.2155041694531583,0.07623473102540147,3.279274461348742,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,standard_dfm,80,1000,4,4.2035798374241535,-0.2439467151360233,7.648491070814051,0.9276143511145618,-0.08362845627225968,2.542845384324958,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,ar,80,1000,4,-2.2631793828600824,-4.13454981141235,0.2737728639670216,-0.32847477788214396,-1.1867833599033117,0.21453978378623884,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,indicator_revision_only_dfm_kalman_em,80,1000,4,1.3077588488774845,-0.7451783662859846,2.856993499088812,-0.028238106470430235,-0.5767693601440839,0.7625847066225477,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,1.2641428956956906,-0.4981765769558959,2.6377153694258597,0.08734862833938095,-0.4011717188203156,0.8330294962783171,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,midas_umidas,80,1000,4,-46.4276190352323,-80.20267310029695,-4.545209688675649,-11.324811825852374,-25.625920282310062,-3.369830161969044,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,monthly_mixed_frequency_kalman_em,80,1000,4,1.1483994069025192,-0.4175199023662853,2.3518243626003255,0.09217641968787404,-0.2631584849509275,0.6453703157212498,baseline_has_higher_error_than_model
