timing_mode,checkpoint_id,outcome_id,model_id,mean_squared_error,initial_model_count,final_model_count,n_obs_final_set,alpha,bootstrap_reps,block_length,included_in_mcs_alpha_10pct,elimination_step,p_value_at_elimination,test_stat_at_elimination,last_set_p_value,last_set_test_stat,method_note
exact,pre_advance,DELTA_SA,ar,0.45987673583332944,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,bridge,0.5159483662583094,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,indicator_revision_only_dfm_kalman_em,0.3245156186075948,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,0.40450729237374905,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,midas_umidas,192.284466650974,11,10,79,0.1,1000,4,False,1.0,0.013986013986013986,2.5613148373515893,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.40628709075021885,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,no_revision,0.3245156186075948,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,release_dfm,0.41171047430327107,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,revision_dfm_kalman_em,0.39591574279354885,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,spf,0.3245156186075948,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,standard_dfm,0.41171047430327107,11,10,79,0.1,1000,4,True,,,,0.23376623376623376,1.7024129532412233,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,ar,0.16639562637908767,11,9,79,0.1,1000,4,True,,,,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,bridge,0.24174842256025875,11,9,79,0.1,1000,4,False,2.0,0.001998001998001998,3.75581995425848,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,indicator_revision_only_dfm_kalman_em,0.1305972198734177,11,9,79,0.1,1000,4,True,,,,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,0.13098084033408972,11,9,79,0.1,1000,4,True,,,,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,midas_umidas,9.760082158575944,11,9,79,0.1,1000,4,False,1.0,0.0989010989010989,1.3049589639589754,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,monthly_mixed_frequency_kalman_em,0.14248959581476447,11,9,79,0.1,1000,4,True,,,,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,no_revision,0.1305972198734177,11,9,79,0.1,1000,4,True,,,,0.2957042957042957,1.5216938822095425,Block-bootstrap MCS-style elimination using average squared-loss differentials.
