subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,ar,exact,pre_advance,DELTA_SA,79,0.6781421206748106,0.46824945973191356,0.08303638739458122,0.5316455696202531,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_second,DELTA_TS,79,0.40791620019200964,0.25997098556715326,0.01637946087350748,0.6075949367088608,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_third,DELTA_MT,80,3.029600437848392,1.7654017002683489,0.3284006384956068,0.4625,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_advance,DELTA_SA,79,0.6781421206748106,0.46824945973191356,0.08303638739458122,0.5316455696202531,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_second,DELTA_TS,79,0.40791620019200964,0.25997098556715326,0.01637946087350748,0.6075949367088608,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_third,DELTA_MT,80,3.029600437848392,1.7654017002683489,0.3284006384956068,0.4625,1.0,0.0,,,,1.0,1.0
full_sample,bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874341,0.4981139843812444,-8.351340754934124e-05,0.5316455696202531,1.0,0.0,,,,1.0592108010820318,0.2977036717586116
full_sample,bridge,exact,pre_second,DELTA_TS,79,0.4916791866250378,0.35909573516181387,0.01926729786961578,0.620253164556962,1.0,0.0,,,,1.2053436132068307,0.007425739835534685
full_sample,bridge,exact,pre_third,DELTA_MT,80,1.9681597928674712,1.4938949101809555,-0.08883299363493793,0.475,1.0,0.0,,,,0.6496433550376858,0.12007730412199549
full_sample,bridge,pseudo,pre_advance,DELTA_SA,79,0.7221269467369031,0.499362314943248,0.0016771364521281748,0.5316455696202531,1.0,0.0,,,,1.0648607787676185,0.28600048405894
full_sample,bridge,pseudo,pre_second,DELTA_TS,79,0.49234421429461095,0.3585367459985785,0.019173572905523448,0.6329113924050633,1.0,0.0,,,,1.2069739178362133,0.007147681856845102
full_sample,bridge,pseudo,pre_third,DELTA_MT,80,1.9653080627902275,1.4891696702152246,-0.08570893499348915,0.4625,1.0,0.0,,,,0.648702065869115,0.11883678227538959
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.0,1.0,28.759493670886076,8.809929694503251e-05,9.268390100214946e-05,9.989863635449808e-05,0.8400344207902793,0.10783312359746103
