timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,DELTA_SA,ar,bridge,79,5000,4,-0.04015333821262346,-0.12594205927920088,0.03739637621968007,-0.029864524649330815,-0.0664280443894725,0.004491336950911925,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,79,5000,4,0.10847939712025434,0.007625642574288299,0.24546666177674686,0.06854692808634405,-0.010986958309760387,0.16879917451144452,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,0.04212732360474414,-0.05986859571094196,0.13367619757449845,-0.0006732605474303877,-0.0644599967059026,0.07232251150515184,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,midas_umidas,79,5000,4,-13.188525346708044,-18.153501872052967,-7.80536643951967,-7.462844595796392,-10.654845354686493,-4.506601362968616,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,79,5000,4,0.037655800314865706,-0.0770795228250054,0.1312226312242701,0.05238748573879093,-0.014946765968431688,0.12066931152776057,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,no_revision,79,5000,4,0.10847939712025434,0.005278795672814815,0.24193990823023803,0.06854692808634405,-0.011511278436864197,0.16966895244219216,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,release_dfm,79,5000,4,0.03649543105249897,-0.06509228590840116,0.1288583766729897,0.040720576490909155,-0.012017348635125333,0.10746878811782254,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,79,5000,4,0.04892376207936333,-0.04324606835554037,0.1344344986150508,0.031008759780337458,-0.02199395521502575,0.09378107588471207,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,spf,79,5000,4,0.10847939712025434,0.007678317487587844,0.2425379696296273,0.06854692808634405,-0.011149865796171119,0.16725712938206055,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,standard_dfm,79,5000,4,0.03649543105249897,-0.0687371774282691,0.13588909933483098,0.040720576490909155,-0.013169039739559033,0.10858968454611284,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,ar,79,5000,4,-0.10847939712025434,-0.24287074367558809,-0.007550082460163741,-0.06854692808634405,-0.1690864073322359,0.012026529069466371,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,bridge,79,5000,4,-0.1486327353328778,-0.30780195486857526,-0.00399653150069389,-0.09841145273567486,-0.2109207864990505,-0.006094336477527548,baseline_has_higher_error_than_model
