date,RSXFS_20010613,RSXFS_20010713,RSXFS_20010814,RSXFS_20010914,RSXFS_20011012,RSXFS_20011114,RSXFS_20011213,RSXFS_20020115,RSXFS_20020213,RSXFS_20020313,RSXFS_20020412,RSXFS_20020503,RSXFS_20020514,RSXFS_20020613,RSXFS_20020712,RSXFS_20020813,RSXFS_20020913,RSXFS_20021011,RSXFS_20021114,RSXFS_20021212,RSXFS_20030114,RSXFS_20030213,RSXFS_20030313,RSXFS_20030411,RSXFS_20030430,RSXFS_20030514,RSXFS_20030612,RSXFS_20030715,RSXFS_20030813,RSXFS_20030912,RSXFS_20031015,RSXFS_20031114,RSXFS_20031211,RSXFS_20040115,RSXFS_20040212,RSXFS_20040311,RSXFS_20040330,RSXFS_20040402,RSXFS_20040413,RSXFS_20040513,RSXFS_20040614,RSXFS_20040714,RSXFS_20040812,RSXFS_20040914,RSXFS_20041015,RSXFS_20041112,RSXFS_20041213,RSXFS_20050113,RSXFS_20050215,RSXFS_20050315,RSXFS_20050331,RSXFS_20050413,RSXFS_20050512,RSXFS_20050614,RSXFS_20050714,RSXFS_20050811,RSXFS_20050914,RSXFS_20051014,RSXFS_20051115,RSXFS_20051213,RSXFS_20060113,RSXFS_20060214,RSXFS_20060314,RSXFS_20060330,RSXFS_20060413,RSXFS_20060511,RSXFS_20060613,RSXFS_20060714,RSXFS_20060811,RSXFS_20060914,RSXFS_20061013,RSXFS_20061114,RSXFS_20061130,RSXFS_20061213,RSXFS_20070112,RSXFS_20070214,RSXFS_20070313,RSXFS_20070329,RSXFS_20070416,RSXFS_20070511,RSXFS_20070613,RSXFS_20070713,RSXFS_20070813,RSXFS_20070914,RSXFS_20071012,RSXFS_20071114,RSXFS_20071213,RSXFS_20080115,RSXFS_20080213,RSXFS_20080313,RSXFS_20080414,RSXFS_20080430,RSXFS_20080513,RSXFS_20080612,RSXFS_20080715,RSXFS_20080813,RSXFS_20080912,RSXFS_20081015,RSXFS_20081114,RSXFS_20081212,RSXFS_20090114,RSXFS_20090212,RSXFS_20090312,RSXFS_20090414,RSXFS_20090430,RSXFS_20090513,RSXFS_20090611,RSXFS_20090714,RSXFS_20090813,RSXFS_20090915,RSXFS_20091014,RSXFS_20091116,RSXFS_20091211,RSXFS_20100114,RSXFS_20100212,RSXFS_20100312,RSXFS_20100414,RSXFS_20100430,RSXFS_20100514,RSXFS_20100611,RSXFS_20100714,RSXFS_20100813,RSXFS_20100914,RSXFS_20101015,RSXFS_20101115,RSXFS_20101214,RSXFS_20110114,RSXFS_20110215,RSXFS_20110311,RSXFS_20110413,RSXFS_20110429,RSXFS_20110512,RSXFS_20110614,RSXFS_20110714,RSXFS_20110812,RSXFS_20110914,RSXFS_20111014,RSXFS_20111115,RSXFS_20111213,RSXFS_20120112,RSXFS_20120214,RSXFS_20120313,RSXFS_20120416,RSXFS_20120430,RSXFS_20120515,RSXFS_20120613,RSXFS_20120716,RSXFS_20120814,RSXFS_20120914,RSXFS_20121015,RSXFS_20121114,RSXFS_20121213,RSXFS_20130115,RSXFS_20130213,RSXFS_20130313,RSXFS_20130412,RSXFS_20130513,RSXFS_20130531,RSXFS_20130613,RSXFS_20130715,RSXFS_20130813,RSXFS_20130913,RSXFS_20131029,RSXFS_20131120,RSXFS_20131212,RSXFS_20140114,RSXFS_20140213,RSXFS_20140313,RSXFS_20140414,RSXFS_20140513,RSXFS_20140612,RSXFS_20140715,RSXFS_20140813,RSXFS_20140912,RSXFS_20141015,RSXFS_20141114,RSXFS_20141211,RSXFS_20150114,RSXFS_20150212,RSXFS_20150312,RSXFS_20150414,RSXFS_20150513,RSXFS_20150611,RSXFS_20150714,RSXFS_20150813,RSXFS_20150915,RSXFS_20151014,RSXFS_20151113,RSXFS_20151211,RSXFS_20160115,RSXFS_20160212,RSXFS_20160315,RSXFS_20160413,RSXFS_20160513,RSXFS_20160614,RSXFS_20160715,RSXFS_20160812,RSXFS_20160915,RSXFS_20161014,RSXFS_20161115,RSXFS_20161214,RSXFS_20170113,RSXFS_20170215,RSXFS_20170315,RSXFS_20170414,RSXFS_20170512,RSXFS_20170614,RSXFS_20170714,RSXFS_20170815,RSXFS_20170915,RSXFS_20171013,RSXFS_20171115,RSXFS_20171214,RSXFS_20180112,RSXFS_20180214,RSXFS_20180314,RSXFS_20180416,RSXFS_20180515,RSXFS_20180525,RSXFS_20180614,RSXFS_20180716,RSXFS_20180815,RSXFS_20180914,RSXFS_20181015,RSXFS_20181115,RSXFS_20181214,RSXFS_20190214,RSXFS_20190311,RSXFS_20190401,RSXFS_20190418,RSXFS_20190515,RSXFS_20190614,RSXFS_20190716,RSXFS_20190815,RSXFS_20190913,RSXFS_20191016,RSXFS_20191115,RSXFS_20191213,RSXFS_20200116,RSXFS_20200214,RSXFS_20200317,RSXFS_20200415,RSXFS_20200515,RSXFS_20200616,RSXFS_20200716,RSXFS_20200814,RSXFS_20200916,RSXFS_20201016,RSXFS_20201117,RSXFS_20201216,RSXFS_20210115,RSXFS_20210217,RSXFS_20210316,RSXFS_20210415,RSXFS_20210426,RSXFS_20210514,RSXFS_20210615,RSXFS_20210716,RSXFS_20210817,RSXFS_20210916,RSXFS_20211015,RSXFS_20211116,RSXFS_20211215,RSXFS_20220114,RSXFS_20220216,RSXFS_20220316,RSXFS_20220414,RSXFS_20220425,RSXFS_20220517,RSXFS_20220615,RSXFS_20220715,RSXFS_20220817,RSXFS_20220915,RSXFS_20221014,RSXFS_20221116,RSXFS_20221215,RSXFS_20230118,RSXFS_20230215,RSXFS_20230315,RSXFS_20230414,RSXFS_20230424,RSXFS_20230516,RSXFS_20230615,RSXFS_20230718,RSXFS_20230815,RSXFS_20230914,RSXFS_20231017,RSXFS_20231115,RSXFS_20231214,RSXFS_20240117,RSXFS_20240215,RSXFS_20240314,RSXFS_20240415,RSXFS_20240423,RSXFS_20240515,RSXFS_20240618,RSXFS_20240716,RSXFS_20240815,RSXFS_20240917,RSXFS_20241017,RSXFS_20241115,RSXFS_20241217,RSXFS_20250116,RSXFS_20250214,RSXFS_20250317,RSXFS_20250416,RSXFS_20250425,RSXFS_20250515,RSXFS_20250617,RSXFS_20250717,RSXFS_20250815,RSXFS_20250916,RSXFS_20251125,RSXFS_20251216,RSXFS_20260114,RSXFS_20260210,RSXFS_20260306,RSXFS_20260401,RSXFS_20260421
1999-04-01,233469,233469,233469,233469,233469,233469,233469,233469,233469,233469,233469,233843,233843,233843,233843,233843,233843,233843,233843,233843,233843,233843,233843,233843,234401,234401,234401,234401,234401,234401,234401,234401,234401,234401,234401,234401,234641,234617,234617,234617,234617,234617,234617,234617,234617,234617,234617,234617,234617,234617,228128,228128,228128,228128,228128,228128,228128,228128,228128,228128,228128,228128,228128,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,229200,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,228978,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,229037,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0,223837.0
1999-05-01,236146,236146,236146,236146,236146,236146,236146,236146,236146,236146,236146,236649,236649,236649,236649,236649,236649,236649,236649,236649,236649,236649,236649,236649,237874,237874,237874,237874,237874,237874,237874,237874,237874,237874,237874,237874,237765,237826,237826,237826,237826,237826,237826,237826,237826,237826,237826,237826,237826,237826,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,230786,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231932,231249,231249,231249,231249,231249,231249,231249,231249,231249,231249,231249,231249,231249,231249,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231238,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,231235,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0,225577.0
1999-06-01,236826,236826,236826,236826,236826,236826,236826,236826,236826,236826,236826,237454,237454,237454,237454,237454,237454,237454,237454,237454,237454,237454,237454,237454,238071,238071,238071,238071,238071,238071,238071,238071,238071,238071,238071,238071,238336,238314,238314,238314,238314,238314,238314,238314,238314,238314,238314,238314,238314,238314,231660,231660,231660,231660,231660,231660,231660,231660,231660,231660,231660,231660,231660,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,232063,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231926,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,231903,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0,226474.0
1999-07-01,238901,238901,238901,238901,238901,238901,238901,238901,238901,238901,238901,239611,239611,239611,239611,239611,239611,239611,239611,239611,239611,239611,239611,239611,240417,240417,240417,240417,240417,240417,240417,240417,240417,240417,240417,240417,240259,240249,240249,240249,240249,240249,240249,240249,240249,240249,240249,240249,240249,240249,233324,233324,233324,233324,233324,233324,233324,233324,233324,233324,233324,233324,233324,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,234261,233921,233921,233921,233921,233921,233921,233921,233921,233921,233921,233921,233921,233921,233921,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233933,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,233948,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0,228424.0
1999-08-01,241688,241688,241688,241688,241688,241688,241688,241688,241688,241688,241688,241936,241936,241936,241936,241936,241936,241936,241936,241936,241936,241936,241936,241936,242621,242621,242621,242621,242621,242621,242621,242621,242621,242621,242621,242621,242574,242554,242554,242554,242554,242554,242554,242554,242554,242554,242554,242554,242554,242554,236002,236002,236002,236002,236002,236002,236002,236002,236002,236002,236002,236002,236002,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,237054,236601,236601,236601,236601,236601,236601,236601,236601,236601,236601,236601,236601,236601,236601,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236589,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,236566,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0,230902.0
1999-09-01,242071,242071,242071,242071,242071,242071,242071,242071,242071,242071,242071,242859,242859,242859,242859,242859,242859,242859,242859,242859,242859,242859,242859,242859,244199,244199,244199,244199,244199,244199,244199,244199,244199,244199,244199,244199,244089,244088,244088,244088,244088,244088,244088,244088,244088,244088,244088,244088,244088,244088,237097,237097,237097,237097,237097,237097,237097,237097,237097,237097,237097,237097,237097,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,238082,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237516,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,237481,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0,231912.0
1999-10-01,242672,242672,242672,242672,242672,242672,242672,242672,242672,242672,242672,242961,242961,242961,242961,242961,242961,242961,242961,242961,242961,242961,242961,242961,244189,244189,244189,244189,244189,244189,244189,244189,244189,244189,244189,244189,244251,244322,244322,244322,244322,244322,244322,244322,244322,244322,244322,244322,244322,244322,237399,237399,237399,237399,237399,237399,237399,237399,237399,237399,237399,237399,237399,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,238157,237548,237548,237548,237548,237548,237548,237548,237548,237548,237548,237548,237548,237548,237548,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237560,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,237553,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0,231254.0
1999-11-01,246146,246146,246146,246146,246146,246146,246146,246146,246146,246146,246146,246015,246015,246015,246015,246015,246015,246015,246015,246015,246015,246015,246015,246015,246925,246925,246925,246925,246925,246925,246925,246925,246925,246925,246925,246925,246773,246808,246808,246808,246808,246808,246808,246808,246808,246808,246808,246808,246808,246808,240138,240138,240138,240138,240138,240138,240138,240138,240138,240138,240138,240138,240138,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240878,240461,240461,240461,240461,240461,240461,240461,240461,240461,240461,240461,240461,240461,240461,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240462,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,240544,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0,234425.0
1999-12-01,250474,250474,250474,250474,250474,250474,250474,250474,250474,250474,250474,250785,250785,250785,250785,250785,250785,250785,250785,250785,250785,250785,250785,250785,251968,251968,251968,251968,251968,251968,251968,251968,251968,251968,251968,251968,251939,251889,251889,251889,251889,251889,251889,251889,251889,251889,251889,251889,251889,251889,244917,244917,244917,244917,244917,244917,244917,244917,244917,244917,244917,244917,244917,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245702,245497,245497,245497,245497,245497,245497,245497,245497,245497,245497,245497,245497,245497,245497,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245498,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,245485,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0,239589.0
2000-01-01,250958,250958,250958,250958,250958,250958,250958,250958,250958,250958,250958,249866,249866,249866,249866,249866,249866,249866,249866,249866,249866,249866,249866,249866,251113,251113,251113,251113,251113,251113,251113,251113,251113,251113,251113,251113,250835,250730,250730,250730,250730,250730,250730,250730,250730,250730,250730,250730,250730,250730,243416,243416,243416,243416,243416,243416,243416,243416,243416,243416,243416,243416,243416,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,244257,243988,243988,243988,243988,243988,243988,243988,243988,243988,243988,243988,243988,243988,244050,244050,244050,244050,244050,244050,244050,244050,244050,244050,244050,244050,244050,243496,243496,243496,243496,243496,243496,243496,243496,243496,243496,243496,243496,243496,243496,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243483,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,243436,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0,237541.0
