model_id,timing_mode,checkpoint_id,target_id,n_seeds,seeds,rmse_min,rmse_median,rmse_max,rmse_range,convergence_rate_min,convergence_rate_median,convergence_rate_max,median_relative_llf_improvement_max
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,2.6325122489492703,2.644364760251176,2.6795820399566006,0.04706979100733033,0.4166666666666667,0.5,0.6666666666666666,0.0001583456740597
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.3877997679504718,0.3943393634243899,0.3972858372528778,0.00948606930240603,0.3333333333333333,0.5,0.5,0.0002042771412131
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2702474271384611,0.2711694028655704,0.2714359430213743,0.001188515882913188,0.5833333333333334,0.5833333333333334,0.6666666666666666,9.921030111502684e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,2.6171026729571247,2.629319806484897,2.638709160216976,0.02160648725985137,0.5,0.5833333333333334,0.6666666666666666,0.0001177182657105
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.3876408412536449,0.394294351275434,0.3972473205804346,0.009606479326789708,0.3333333333333333,0.5,0.5,0.0001994768211107
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2702393807883894,0.2711260558621807,0.2714305877303228,0.0011912069419334204,0.5,0.5833333333333334,0.6666666666666666,0.0001424350126293
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,2.554983756500866,2.558644749858218,2.5626086562111423,0.007624899710276356,0.5833333333333334,0.6666666666666666,0.6666666666666666,9.74657671995586e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.3408455340837754,0.3659288953700265,0.370321521686029,0.029475987602253617,0.5,0.5833333333333334,0.5833333333333334,0.0001247792734758
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.275692401128712,0.2761572882127306,0.2762059542509184,0.0005135531222063561,0.6666666666666666,0.75,0.75,9.723998083024325e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,2.5443341190996875,2.5491154866581613,2.5520903864823454,0.007756267382657889,0.5833333333333334,0.6666666666666666,0.6666666666666666,9.742301446044752e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.3416195851347619,0.3667138315906878,0.3718768914056772,0.030257306270915274,0.5,0.5833333333333334,0.5833333333333334,0.0001217806786841
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2756585417814838,0.2760828765860471,0.2761774624649571,0.0005189206834733118,0.6666666666666666,0.6666666666666666,0.75,9.818040654472346e-05
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,2.824731403176868,2.824731403176868,2.824731403176868,0.0,1.0,1.0,1.0,9.448204234813744e-05
monthly_mixed_frequency_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.2771162923930014,0.2771162923930014,0.2771162923930014,0.0,1.0,1.0,1.0,9.344417099474332e-05
monthly_mixed_frequency_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2664730985696655,0.2664730985696655,0.2664730985696655,0.0,1.0,1.0,1.0,9.384653832010424e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,2.8249467629985174,2.8249467629985174,2.8249467629985174,0.0,1.0,1.0,1.0,9.464055731008136e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.2770909189118266,0.2770909189118266,0.2770909189118266,0.0,1.0,1.0,1.0,9.333545536690683e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2670644925978617,0.2670644925978617,0.2670644925978617,0.0,1.0,1.0,1.0,9.22090328105168e-05
revision_dfm_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,2.7615700382462234,2.761992105083386,2.762231850861394,0.0006618126151707315,1.0,1.0,1.0,9.575409124456048e-05
revision_dfm_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.234820036459108,0.2351809680998004,0.2352957260534548,0.00047568959434679536,1.0,1.0,1.0,9.551111538095696e-05
revision_dfm_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2690250529082073,0.2690653833736375,0.2690742184460535,4.916553784622968e-05,1.0,1.0,1.0,9.463061706674004e-05
revision_dfm_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,2.747474236181439,2.747886210475252,2.7481302409375092,0.0006560047560704163,1.0,1.0,1.0,9.57421932164726e-05
revision_dfm_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.2351081815963196,0.2354587156139454,0.2355750777393285,0.0004668961430089047,1.0,1.0,1.0,9.550787274245146e-05
revision_dfm_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2690390077778895,0.2690779865033786,0.2690868200160121,4.781223812255764e-05,1.0,1.0,1.0,9.586286353342258e-05
