model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,12,0.2677032186437722,0.23100214519915815,0.05739800209275688,1.0,1.0,0.5833333333333334,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,12,0.31969829626044594,0.2778985376898982,0.06771288778340627,1.194226568810376,0.12956300160164538,0.5833333333333334,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,12,0.2421589698249203,0.20819999999999997,-0.028850000000000004,0.9045799712522575,0.2698071321429216,0.0,0.4166666666666667,45.333333333333336,0.0001993643079038005,0.00014046564955928878,0.0005396242359375596,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,12,0.39872156998624037,0.3064883607533447,0.039049105866813594,1.4894164216860308,0.12275199396592382,0.5833333333333334,0.6666666666666666,44.916666666666664,0.00017710018884560552,9.346300142632757e-05,0.00047277254018681064,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,12,1.0115523653580298,0.7181568402672717,0.4929875027885932,3.778633557275544,0.04508881682632538,0.5833333333333334,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,12,0.23855847385950188,0.19305281666827956,0.08142928250021124,0.8911303908413117,0.03304846206390108,0.5833333333333334,1.0,28.583333333333332,9.431670360387908e-05,9.448204234813743e-05,9.992598888191642e-05,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,12,0.2421589698249203,0.20819999999999997,-0.028850000000000004,0.9045799712522575,0.2698071321429216,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,12,0.24998100273468318,0.20760163905893583,0.06649321131779484,0.9337990181856137,0.033712918041114544,0.5833333333333334,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,12,0.21837176967344313,0.160304251280013,0.10686693519513751,0.8157233625346375,0.06900494342855874,0.5833333333333334,1.0,27.25,9.357908841799986e-05,9.365329178235481e-05,9.927088208191343e-05,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,12,0.24998100273468318,0.20760163905893583,0.06649321131779484,0.9337990181856137,0.033712918041114544,0.5833333333333334,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,12,0.25195965646734203,0.1848646173354902,-0.03766895112997195,1.0,1.0,0.6666666666666666,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,DELTA_TS,12,0.3561542174133306,0.27193332453890706,0.05046610257952017,1.4135366844314372,0.10929601334690019,0.5833333333333334,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,12,0.26819747854892295,0.18639166666666665,-0.10955833333333337,1.064446119308333,0.380038266158234,0.0,0.3333333333333333,44.333333333333336,0.00021279324928451918,0.00020427714121318686,0.00037806807946322724,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,12,0.2706201690697105,0.18716569410448,-0.10630746113372548,1.0740615099417201,0.3460801806067966,0.6666666666666666,0.5833333333333334,42.416666666666664,0.00016374891987789238,9.913902447290622e-05,0.0004334033781343204,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,12,0.5678132845203745,0.4333814971073701,0.0072989357337582455,2.2535881040700345,0.02322707706373976,0.5833333333333334,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,12,0.25870229625843494,0.19594307412086662,-0.047348273167355535,1.026760791333143,0.37637171990273577,0.6666666666666666,1.0,28.583333333333332,9.37581198711988e-05,9.344417099474332e-05,9.848143660208904e-05,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,12,0.26819747854892295,0.18639166666666665,-0.10955833333333337,1.064446119308333,0.380038266158234,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,12,0.2535413779557457,0.17807260522923526,-0.06237445461518836,1.0062776775876765,0.7733281819494218,0.6666666666666666,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,12,0.26738967541649333,0.18463407484068908,-0.10632367167797528,1.0612400380501046,0.38556800373405997,0.6666666666666666,1.0,26.916666666666668,9.379256866914784e-05,9.462955168526288e-05,9.820630594485676e-05,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,12,0.25053108680786884,0.1827167930044863,-0.04189336871093959,0.9943301650768112,0.5776575310770069,0.6666666666666666,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,DELTA_MT,12,3.932973087544104,1.7813117148934505,-1.187940989204239,1.0,1.0,0.4166666666666667,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,DELTA_MT,12,1.1076213627732276,0.810840186646312,0.22040402554356783,0.2816244449475417,0.3176521810021823,0.5833333333333334,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,12,0.5869673912010218,0.4937166666666668,-0.21763333333333337,0.14924266658726268,0.2852918527964827,0.0,0.6666666666666666,39.333333333333336,0.0001402248694768743,9.701943007503475e-05,0.0003716184635887188,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,12,0.5878926760906129,0.4948147018644538,-0.2169840823851036,0.14947793005563512,0.28532418706633456,0.4166666666666667,0.75,40.833333333333336,0.00013665517364970262,9.659261294832038e-05,0.00041175637866871373,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,12,4.210275087448997,3.4960652729830035,-0.3470831850952448,1.0705069660362336,0.8916779046585566,0.25,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,12,0.5785632400630882,0.501739964123204,-0.1828488643045474,0.14710582228376368,0.28489797670046196,0.5,1.0,28.416666666666668,9.410643926920017e-05,9.384653832010424e-05,9.999501178685107e-05,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,12,0.5869673912010218,0.4937166666666668,-0.21763333333333337,0.14924266658726268,0.2852918527964827,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,12,0.5717071089460181,0.4089228909659857,0.1953814718235556,0.14536257844139316,0.28545390228057593,0.75,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,12,0.5874095878727661,0.49494995822515403,-0.21632815306415154,0.1493550997674298,0.2853022010958591,0.5833333333333334,1.0,27.0,9.41555675577726e-05,9.44333070919679e-05,9.806826453532572e-05,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,12,0.8763988277786433,0.6787905465327362,-0.05878767995697598,0.22283367017034425,0.3011245260710658,0.5,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,12,0.2677032186437722,0.23100214519915815,0.05739800209275688,1.0,1.0,0.5833333333333334,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,12,0.3268941685998097,0.2832070708516317,0.06982437638899712,1.2211066055010784,0.12120772972142614,0.5833333333333334,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.2421589698249203,0.20819999999999997,-0.028850000000000004,0.9045799712522575,0.2698071321429216,0.0,0.5,44.75,0.00018099657306098481,0.00011690952189807614,0.0004885797173249449,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.4033574870244509,0.32288790766841957,0.0610609402993408,1.506733796731788,0.10106719975137352,0.5,0.5833333333333334,45.166666666666664,0.00017791511002326614,9.559981172147465e-05,0.00046004148173413214,0.0,0.0
midas_umidas,pseudo,pre_advance,DELTA_SA,12,1.0310813767240443,0.7019709380532945,0.45374662817031314,3.8515837872539196,0.06393419483639952,0.5833333333333334,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.23874523451214996,0.1930353522425768,0.08137860810919299,0.8918280315106852,0.035079299933224305,0.5833333333333334,1.0,28.583333333333332,9.438332366821335e-05,9.464055731008136e-05,9.994961427105885e-05,0.0,0.0
no_revision,pseudo,pre_advance,DELTA_SA,12,0.2421589698249203,0.20819999999999997,-0.028850000000000004,0.9045799712522575,0.2698071321429216,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_advance,DELTA_SA,12,0.2499958206649264,0.2076195428472318,0.06651086090413455,0.933854370266617,0.033912846767187234,0.5833333333333334,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,12,0.218488097627933,0.160340365775302,0.10698866600949804,0.816157903273741,0.07004239420975923,0.5833333333333334,1.0,27.25,9.368702992350287e-05,9.384493577611327e-05,9.97371524020595e-05,0.0,0.0
standard_dfm,pseudo,pre_advance,DELTA_SA,12,0.2499958206649264,0.2076195428472318,0.06651086090413455,0.933854370266617,0.033912846767187234,0.5833333333333334,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_second,DELTA_TS,12,0.25195965646734203,0.1848646173354902,-0.03766895112997195,1.0,1.0,0.6666666666666666,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_second,DELTA_TS,12,0.36194018833266556,0.2762217995411756,0.048367683053749576,1.4365005628572873,0.0871615726826451,0.5,1.0,0.0,,,,0.0,0.0
