model_id,timing_mode,checkpoint_id,outcome_id,revision_size_bin,n_obs,RMSE,MAE,bias
ar,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.6602444054761669,0.32739046163105795,0.29655286504474837
ar,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.36317836654615254,0.3266875792458411,0.08990505953729544
ar,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.4341785835589851,0.3456553560405242,-0.0007657868446630245
ar,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.03112108626197,0.854875970147639,0.021864133828000214
ar,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.1809506617640022,0.12172319919482008,0.04444513143367805
ar,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.2126896470034797,0.18578541413137215,0.07644028757516914
ar,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.37027796472774305,0.27292499617404686,-0.06525948849999741
ar,exact,pre_second,DELTA_TS,abs_gt_0p5,7,1.027485702705265,0.8933675738924075,0.1541191619838323
ar,exact,pre_third,DELTA_MT,abs_le_0p1,6,1.5866069033533945,1.0383409281866893,0.8988325195129757
ar,exact,pre_third,DELTA_MT,abs_0p1_0p2,6,0.6717016708930451,0.5035160107098006,-0.166603746326968
ar,exact,pre_third,DELTA_MT,abs_0p2_0p5,8,5.749030305998097,3.1602154284681743,-0.8381621023087977
ar,exact,pre_third,DELTA_MT,abs_gt_0p5,60,3.62902784873179,2.134581051616879,0.8696427245921061
ar,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.6602444054761669,0.32739046163105795,0.29655286504474837
ar,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.36317836654615254,0.3266875792458411,0.08990505953729544
ar,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.4341785835589851,0.3456553560405242,-0.0007657868446630245
ar,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,1.03112108626197,0.854875970147639,0.021864133828000214
ar,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.1809506617640022,0.12172319919482008,0.04444513143367805
ar,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.2126896470034797,0.18578541413137215,0.07644028757516914
ar,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.37027796472774305,0.27292499617404686,-0.06525948849999741
ar,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,1.027485702705265,0.8933675738924075,0.1541191619838323
ar,pseudo,pre_third,DELTA_MT,abs_le_0p1,6,1.5866069033533945,1.0383409281866893,0.8988325195129757
ar,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,6,0.6717016708930451,0.5035160107098006,-0.166603746326968
ar,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,8,5.749030305998097,3.1602154284681743,-0.8381621023087977
ar,pseudo,pre_third,DELTA_MT,abs_gt_0p5,60,3.62902784873179,2.134581051616879,0.8696427245921061
bridge,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.5849030461019664,0.30577323007554047,0.2385554233223471
bridge,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.40992596060164566,0.35578722665695733,-0.09249400799634845
bridge,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.6293325815971686,0.4176494940845726,-0.04772722062461183
