model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,sensitivity,specificity,precision,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,0.75,0.1935483870967742,0.5901639344262295,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,exact,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,0.7027027027027027,0.20833333333333334,0.5777777777777777,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,0.7575757575757576,0.2631578947368421,0.6410256410256411,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,exact,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,0.8163265306122449,0.26666666666666666,0.6451612903225806,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,exact,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,0.8235294117647058,0.23529411764705882,0.6829268292682927,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,exact,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,0.8214285714285714,0.3,0.7666666666666667,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,exact,pre_third,DELTA_MT,0.0,80,0.45,0.4619736015084852,0.6216216216216216,0.3023255813953488,0.4339622641509434,23,14,30,13,1.0525517602521295,1.4045604925963775
ar,exact,pre_third,DELTA_MT,0.1,74,0.44594594594594594,0.45882352941176474,0.6176470588235294,0.3,0.42857142857142855,21,13,28,12,1.1342983306491834,1.4326058739972478
ar,exact,pre_third,DELTA_MT,0.2,68,0.4264705882352941,0.44158674803836095,0.6129032258064516,0.2702702702702703,0.41304347826086957,19,12,27,10,1.220271758125884,1.514878702580011
ar,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,0.75,0.1935483870967742,0.5901639344262295,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,pseudo,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,0.7027027027027027,0.20833333333333334,0.5777777777777777,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,pseudo,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,0.7575757575757576,0.2631578947368421,0.6410256410256411,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,pseudo,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,0.8163265306122449,0.26666666666666666,0.6451612903225806,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,pseudo,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,0.8235294117647058,0.23529411764705882,0.6829268292682927,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,pseudo,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,0.8214285714285714,0.3,0.7666666666666667,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,pseudo,pre_third,DELTA_MT,0.0,80,0.45,0.4619736015084852,0.6216216216216216,0.3023255813953488,0.4339622641509434,23,14,30,13,1.0525517602521295,1.4045604925963775
ar,pseudo,pre_third,DELTA_MT,0.1,74,0.44594594594594594,0.45882352941176474,0.6176470588235294,0.3,0.42857142857142855,21,13,28,12,1.1342983306491834,1.4326058739972478
ar,pseudo,pre_third,DELTA_MT,0.2,68,0.4264705882352941,0.44158674803836095,0.6129032258064516,0.2702702702702703,0.41304347826086957,19,12,27,10,1.220271758125884,1.514878702580011
bridge,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,0.6875,0.2903225806451613,0.6,33,15,22,9,0.3997025316455695,0.2787688878309756
bridge,exact,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,0.6756756756756757,0.3333333333333333,0.6097560975609756,25,12,16,8,0.5046213114754097,0.27061739625085474
bridge,exact,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,0.7272727272727273,0.3684210526315789,0.6666666666666666,24,9,12,7,0.5673499999999999,0.27307101904866404
bridge,exact,pre_second,DELTA_TS,0.0,79,0.620253164556962,0.5904761904761905,0.7142857142857143,0.4666666666666667,0.6862745098039216,35,14,16,14,0.23798607594936708,0.2780630076358267
bridge,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6176470588235294,0.7647058823529411,0.47058823529411764,0.7428571428571429,26,8,9,8,0.3465450980392156,0.25866158727345456
bridge,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6607142857142857,0.8214285714285714,0.5,0.8214285714285714,23,5,5,5,0.41342105263157897,0.2806081578630765
bridge,exact,pre_third,DELTA_MT,0.0,80,0.4875,0.47988686360779387,0.3783783783783784,0.5813953488372093,0.4375,14,23,18,25,1.0525517602521295,0.9418677273544207
bridge,exact,pre_third,DELTA_MT,0.1,74,0.4594594594594595,0.4514705882352942,0.35294117647058826,0.55,0.4,12,22,18,22,1.1342983306491834,0.9176987656854962
bridge,exact,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.43417611159546643,0.3548387096774194,0.5135135135135135,0.3793103448275862,11,20,18,19,1.220271758125884,0.847048407154696
bridge,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,0.6875,0.2903225806451613,0.6,33,15,22,9,0.3997025316455695,0.2808687410459879
bridge,pseudo,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,0.6756756756756757,0.3333333333333333,0.6097560975609756,25,12,16,8,0.5046213114754097,0.2743039091870129
bridge,pseudo,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,0.7272727272727273,0.3684210526315789,0.6666666666666666,24,9,12,7,0.5673499999999999,0.27722397271991706
bridge,pseudo,pre_second,DELTA_TS,0.0,79,0.6329113924050633,0.6136054421768707,0.6938775510204082,0.5333333333333333,0.7083333333333334,34,15,14,16,0.23798607594936708,0.2797953138222746
bridge,pseudo,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6323529411764706,0.7352941176470589,0.5294117647058824,0.7575757575757576,25,9,8,9,0.3465450980392156,0.26127531412406135
bridge,pseudo,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6928571428571428,0.7857142857142857,0.6,0.8461538461538461,22,6,4,6,0.41342105263157897,0.2843150968084263
bridge,pseudo,pre_third,DELTA_MT,0.0,80,0.4875,0.47988686360779387,0.3783783783783784,0.5813953488372093,0.4375,14,23,18,25,1.0525517602521295,0.9433884422414645
bridge,pseudo,pre_third,DELTA_MT,0.1,74,0.4594594594594595,0.4514705882352942,0.35294117647058826,0.55,0.4,12,22,18,22,1.1342983306491834,0.9193439757480782
bridge,pseudo,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.43417611159546643,0.3548387096774194,0.5135135135135135,0.3793103448275862,11,20,18,19,1.220271758125884,0.8492724592330737
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0.0,1.0,,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0.0,1.0,,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0.0,1.0,,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.0,0.5,0.0,1.0,,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.0,0.5,0.0,1.0,,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.0,0.5,0.0,1.0,,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.0,0.5,0.0,1.0,,0,37,0,43,1.0525517602521295,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,74,0.0,0.5,0.0,1.0,,0,34,0,40,1.1342983306491834,0.0
